Brown,1,1,14
Swin/Mara,1,2,11
Kintz/Mori,1,3,9
Axel/Ken,1,4,3
BD,1,5,8
Bartch,1,6,6
Wilson,1,7,5
Miller/Wernz,1,8,10
Flo,1,9,13
Drew/Gabe,1,10,7
Davie/Paul,1,11,4
Bro/Heli,1,12,12
Jake,1,13,1
Zach,1,14,2
Vondy/Clark,2,15,12
Dan,2,16,1
Evan,2,17,3
Hughes,2,18,5
Erik/Gavin,2,19,7
Murphy,2,20,6
JakuWOWski,2,21,4
Tim/Mike,2,22,10
Riss/Ehrman,2,23,11
Bailey,2,24,8
Nelson,2,25,9
Teeter,2,26,2
Mick/Jason,2,27,14
Tom,2,28,13
