8,Miller/Wernz,85,Any- KC Chiefs
8,Miller/Wernz,152,Any- Xavier CBB
8,Miller/Wernz,249,Any- AS Roma
8,Miller/Wernz,346,Any- Patrick Reed
8,Miller/Wernz,319,_Any- Branden Grace
8,Miller/Wernz,405,_Any- Gael Monfils
9,Flo,28,CFB- Navy
9,Flo,71,NFL- NY Jets
9,Flo,103,CBB- Gonzaga
9,Flo,199,CHK- St Cloud St
9,Flo,215,KD- Pick #10
9,Flo,239,CL- Juventus
9,Flo,272,NHL- Detroit Red Wings
9,Flo,289,NBA- Raptors
9,Flo,322,PGA- Bubba Watson
9,Flo,371,SC- Pick #11
9,Flo,385,LLWS- Pick #5
9,Flo,409,M Ten- John Isner
9,Flo,437,W Ten- Angie Kerber
9,Flo,489,MLB- Detroit Tigers
9,Flo,64,Any- Carolina Panthers
9,Flo,296,_Any- Charlotte Hornets
9,Flo,329,Any- Hideki Matsuyama
9,Flo,386,Any- LLWS #6
9,Flo,388,Any- LLWS #8
10,Drew/Gabe,43,CFB- Temple
10,Drew/Gabe,78,NFL- Houston Texans
10,Drew/Gabe,109,CBB- Kansas
10,Drew/Gabe,168,CHK- Denver
10,Drew/Gabe,208,KD- Pick #3
10,Drew/Gabe,254,CL- Zenit St Petersburg
10,Drew/Gabe,276,NHL- Colorado Avs
10,Drew/Gabe,306,NBA- Houston
10,Drew/Gabe,321,PGA- Brooks Koepka
10,Drew/Gabe,374,SC- Pick #14
10,Drew/Gabe,395,LLWS- Pick #15
10,Drew/Gabe,427,M Ten- Federer
10,Drew/Gabe,463,W Ten- Serena
10,Drew/Gabe,480,MLB- Pirates
10,Drew/Gabe,105,Any- Indiana CBB
10,Drew/Gabe,307,Any- Memphis Grizzlies
10,Drew/Gabe,342,Any- Louis Oosthuizen
10,Drew/Gabe,352,Any- Sergio Garcia
10,Drew/Gabe,444,Any- Bouchard
10,Drew/Gabe,494,Any- NY Yankees
11,Davie/Paul,23,CFB- Michigan
11,Davie/Paul,72,NFL- Miami
11,Davie/Paul,141,CBB- Texa A&M
11,Davie/Paul,158,CHK- Boston College
11,Davie/Paul,212,KD- Pick #7
11,Davie/Paul,233,CL- Chelsea
11,Davie/Paul,259,NHL- Penguins
11,Davie/Paul,313,NBA- Blazers
11,Davie/Paul,336,PGA- Spieth
11,Davie/Paul,375,SC- Pick #15
11,Davie/Paul,371,LLWS- Pick #11
11,Davie/Paul,398,_M Ten- Murray
11,Davie/Paul,440,W Ten- Wozniacki
11,Davie/Paul,475,MLB- LA Dodgers
11,Davie/Paul,189,Any- Notre Dame CHK
11,Davie/Paul,214,Any- KD #9
11,Davie/Paul,216,Any- KD #11
11,Davie/Paul,484,Any- Nationals
11,Davie/Paul,486,Any- Boston Red Sox
12,Bro/Heli,12,CFB- FSU
12,Bro/Heli,54,NFL- NY Giants
12,Bro/Heli,134,CBB- Seton Hall
12,Bro/Heli,181,CHK-Minnesota-Duluth
12,Bro/Heli,221,KD- Pick #16
12,Bro/Heli,242,CL- PSG
12,Bro/Heli,260,NHL- Boston Bruins
12,Bro/Heli,291,NBA- Cavs
12,Bro/Heli,341,PGA- Lee Westwood
